Country,MPI_year_and_survey,MPI_index,Population_in_MDP_%,Population_in_MDP_k,Intensity_of_deprivation,Population_near_MDP,Population_in_severe_MDP ,Contribution_of_deprivation_in_dimension_to_overall_poverty_%_education,Contribution_of_deprivation_in_dimension_to_overall_poverty_%_health,Contribution_of_deprivation_in_dimension_to_overall_poverty_%_livingstandards,Population_living_below_income_poverty_line_%,Population_living_below_income_poverty_line_PPP$1.9day
Afghanistan,2010/2011M,0.293,58.8,"16,942",49.9,16,29.8,45.6,19.2,35.2,35.8,
Albania,2008/2009D,0.005,1.2,35,38.3,7.2,0.1,22.4,47.1,30.5,14.3,1.1
Argentina,2005N,0.015,3.7,"1,457",39.1,5.2,0.5,38.2,27.8,34,,1.7
Armenia,2010D,0.002,0.6,18,37,3,0.1,3.4,87.8,8.7,30,2.3
Azerbaijan,2006D,0.009,2.4,210,38.2,11.5,0.2,20,50.7,29.3,6,0.5
Bangladesh,2014D,0.188,40.7,"64,816",46.2,19.6,16,28.4,26.1,45.5,31.5,18.5
Barbados,2012M,0.004,1.2,3,33.7,0.3,0,1.5,95.9,2.6,,
Belarus,2005M,0.001,0.4,41,34.5,1.1,0,2.6,89.7,7.7,5.1,0
Belize,2011M,0.03,7.4,24,41.2,6.4,1.5,36.2,34.8,29,,
Benin,2011/2012D,0.343,64.2,"6,454",53.3,16.9,37.7,33.1,24.8,42.1,36.2,53.1
Bhutan,2010M,0.128,29.4,212,43.5,18,8.8,40.3,26.3,33.4,12,2.2
Bolivia (Plurinational State of),2008D,0.097,20.6,"1,974",47,17.3,7.8,21.9,27.9,50.2,38.6,6.8
Bosnia and Herzegovina,2011/2012M,0.006,1.7,65,37.3,3.2,0,7.8,79.5,12.7,17.9,0.1
Brazil,2014N,0.01,2.4,"4,994",40,6.7,0.3,24.9,45.1,30.1,7.4,3.7
Burkina Faso,2010D,0.508,82.8,"12,951",61.3,7.6,63.8,39,22.5,38.5,40.1,43.7
Burundi,2010D,0.442,81.8,"7,740",54,12,48.2,25,26.3,48.8,64.6,77.7
Cambodia,2014D,0.15,33.8,"5,180",44.3,21.6,11.4,30.8,26.4,42.8,17.7,2.2
Cameroon,2011D,0.26,48.2,"10,170",54.1,17.8,27.1,24.5,31.3,44.2,37.5,24
Central African Republic,2010M,0.424,76.3,"3,392",55.6,15.7,48.5,23.8,26.2,50,62,66.3
Chad,2010M,0.545,86.9,"10,339",62.7,8.8,67.6,32.3,22.5,45.2,46.7,38.4
China,2012N,0.023,5.2,"70,807",43.3,22.7,1,30,36.6,33.4,,1.9
Colombia,2010D,0.032,7.6,"3,494",42.2,10.2,1.8,34.3,24.7,41,27.8,5.7
Comoros,2012D/M,0.165,34.3,252,48.1,23.1,14.9,29.1,25.9,45,44.8,13.5
Congo,2011/2012D,0.192,43,"1,844",44.7,26.2,12.2,10.6,32.8,56.6,46.5,37
Congo (Democratic Republic of the),2013/2014D,0.369,72.5,"54,314",50.8,18.5,36.7,15.6,31,53.4,63.6,77.1
Côte d'Ivoire,2011/2012D,0.307,59.3,"12,521",51.7,17.9,32.4,36.5,25.8,37.7,46.3,29
Djibouti,2006M,0.127,26.9,213,47.3,16,11.1,36.1,22.7,41.2,,22.5
Dominican Republic,2013D,0.025,6,613,41.6,20.6,1,28.4,39.6,32,32.4,2.3
Ecuador,2013/2014N,0.015,3.7,585,39.6,8.4,0.5,23.6,42.4,34,23.3,3.8
Egypt,2014D,0.016,4.2,"3,750",37.4,5.6,0.4,45.6,46.7,7.8,25.2,
Ethiopia,2011D,0.537,88.2,"79,298",60.9,6.7,67,27.4,25.2,47.4,29.6,33.5
Gabon,2012D,0.073,16.7,270,43.4,19.9,4.4,15.2,43.8,40.9,32.7,8
Gambia,2013D,0.289,57.2,"1,068",50.5,21.3,31.7,32.9,30.9,36.2,48.4,
Georgia,2005M,0.008,2.2,99,37.6,4.1,0.1,7.4,67.4,25.2,14.8,9.8
Ghana,2014D,0.147,32.4,"8,688",45.4,20.5,11.1,27.2,31.5,41.2,24.2,25.2
Guinea,2012D/M,0.425,73.8,"8,588",57.6,12.7,49.8,36.6,22.8,40.6,55.2,35.3
Guinea-Bissau,2006M,0.495,80.4,"1,201",61.6,10.5,58.4,30.5,27.9,41.6,69.3,67.1
