Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std
Afghanistan,27270736.49,20868574.02,19731337261,14697331941,6402162.477,5034005320,5027603158,30.67848561,34.25115075,3.572665143,102,149,140,0,28.05540003
Albania,6616186.328,6815357.258,12542465022,11500292411,-199170.9308,1042172611,1042371782,-2.922384305,9.062140107,11.98452441,62,34,47,1,26.92948582
Algeria,90957355.07,76216524.22,1.76E+11,1.56E+11,14740830.85,20720000000,20705259169,19.34072827,13.31576749,-6.024960782,135,128,69,0,52.58094793
Angola,22957308.4,17607132.67,96261432368,79753199398,5350175.726,16508232970,16502882794,30.38641115,20.69914824,-9.687262912,142,148,101,0,40.04146946
Argentina,158699622.3,119344051.8,4.58E+11,3.86E+11,39355570.57,71683000000,71643644429,32.97656648,18.5728425,-14.40372398,146,151,93,0,96.64007434
Armenia,6193203.331,5844214.273,10736584306,9060944166,348989.0577,1675640140,1675291151,5.97153084,18.49299708,12.52146624,58,71,92,0,26.64665053
Australia,204837815.4,216496001.6,1.24E+12,1.12E+12,-11658186.12,1.22E+11,1.22E+11,-5.384942925,10.88107891,16.26602183,44,26,56,1,219.4044931
Austria,51883277.75,49630216.91,4.05E+11,3.83E+11,2253060.836,21836000000,21833746939,4.539695725,5.703524348,1.163828623,115,68,33,0,88.34678335
Azerbaijan,21861065.99,18768195.38,57238335961,50453518393,3092870.612,6784817568,6781724697,16.47931807,13.44765991,-3.031658152,131,116,70,0,33.92970987
Bangladesh,117772778.8,100248357.3,1.39E+11,1.09E+11,17524421.56,29402000000,29384475578,17.48100621,26.92614131,9.445135094,72,119,119,0,46.67202509
Barbados,949884.1333,1207194.631,4490584971,4435485769,-257310.4973,55099202,55356512.5,-21.31474833,1.242236023,22.55698435,25,3,14,1,25.66840816
Belarus,43935430.5,42138099.46,59927867090,51253510501,1797331.046,8674356589,8672559258,4.265334861,16.92441455,12.65907969,57,66,82,0,34.35094163
Belgium,76842363.5,77768005.22,4.93E+11,4.71E+11,-925641.7131,21722000000,21722925642,-1.190260327,4.612996324,5.803256651,91,41,28,1,102.1170419
Benin,13565077.1,11461191.39,8063036668,6825749998,2103885.713,1237286670,1235182784,18.35660571,18.12675047,-0.229855242,120,125,88,0,26.22792209
Bermuda,368749.6972,366116.1965,5151445060,5867281537,2633.500703,-715836477,-715839110.5,0.719307348,-12.20047943,-12.91978678,145,50,3,0,25.77191143
Bhutan,3479548.254,2849623.009,1835844374,1419010481,629925.2454,416833893,416203967.8,22.10556426,29.37496929,7.26940503,86,134,122,0,25.25262526
Bolivia (Plurinational State of),31830193.99,27629934.51,23208056518,18870603598,4200259.481,4337452920,4333252661,15.20184378,22.98523679,7.783393005,83,107,109,0,28.59992044
Bosnia and Herzegovina,12291774.03,12310976.72,17568163123,17032435469,-19202.69346,535727654,535746856.7,-0.15598026,3.145337935,3.301318194,103,44,23,1,27.71660579
Botswana,6679456.868,6653148.268,15560888960,11778027472,26308.59982,3782861488,3782835179,0.395430836,32.11795436,31.72252352,12,46,134,0,27.40222846
Brazil,615872753.1,531817637.6,2.41E+12,2.05E+12,84055115.5,3.56E+11,3.55E+11,15.80525157,17.30738337,1.502131807,113,110,84,0,402.3762436
Bulgaria,22680547.28,26116832.58,52039981143,50582434410,-3436285.299,1457546733,1460983018,-13.15735853,2.881527451,16.03888598,45,9,20,1,33.11554857
Burkina Faso,20326395.76,17479473.33,10785180292,8288546127,2846922.426,2496634165,2493787243,16.2872323,30.1214969,13.83426461,50,115,126,0,26.65426159
Burundi,6613951.149,7250208.062,2297622744,1952928500,-636256.913,344694244,345330500.9,-8.775705574,17.65012104,26.42582661,18,17,86,1,25.32494854
Cabo Verde,1118118.841,903479.4737,1762867521,1640251585,214639.3677,122615936,122401296.6,23.75697224,7.475434691,-16.28153754,147,141,39,0,25.24119569
Cambodia,18294262.51,15182321.98,13876856310,10609615491,3111940.53,3267240819,3264128878,20.49713168,30.7950917,10.29796001,70,129,129,0,27.13847689
Cameroon,25769697.92,22486657.78,27160443493,22874787500,3283040.149,4285655993,4282372953,14.59994714,18.73528221,4.135335069,98,105,94,0,29.21893946
Canada,308461755.4,276879206.5,1.73E+12,1.57E+12,31582548.9,1.66E+11,1.66E+11,11.40661637,10.57732855,-0.829287825,123,94,54,0,296.0240898
Central African Republic,5381556.355,5526940.403,1352053851,1927297142,-145384.048,-575243291,-575097907,-2.630461655,-29.84715115,-27.21668949,150,35,1,0,25.17685446
Chad,18068927.95,16822435.44,12275999076,9385905830,1246492.504,2890093246,2888846753,7.409703003,30.79184149,23.38213849,22,76,128,0,26.88775218
Chile,76455632.57,62460474.59,2.52E+11,2.06E+11,13995157.98,46759000000,46745004842,22.40642274,22.73131651,0.324893771,119,135,107,0,64.50545118
China,5009653687,4252929833,7.77E+12,5.51E+12,756723854.2,2.25E+12,2.25E+12,17.79300115,40.84742289,23.05442174,24,123,148,0,1241.348376
Colombia,89343293.72,85859687.13,3.34E+11,2.76E+11,3483606.586,57763000000,57759516393,4.057325041,20.92452926,16.86720422,41,64,103,0,77.24719254
Comoros,788182.8334,732365.665,580236282.9,519073731.2,55817.1684,61162551.7,61106734.53,7.621488974,11.7830181,4.161529126,97,78,60,0,25.05597313
Congo,5556632.016,4696991.374,13334057141,11041561163,859640.6428,2292495978,2291636337,18.30194212,20.76242611,2.460483987,109,124,102,0,27.05346421
Congo (Democratic Republic of the),54656142.76,51574592.58,25500497990,19166509369,3081550.175,6333988621,6330907071,5.974938473,33.04716837,27.07222989,15,72,139,0,28.9589604
Costa Rica,11675431.48,9583816.19,41572792270,35510217687,2091615.293,6062574583,6060482968,21.82445126,17.07276096,-4.751690298,132,133,83,0,31.47618758
Croatia,16116829.11,17475922.78,57591646782,60713512917,-1359093.664,-3121866135,-3120507041,-7.776949359,-5.141962613,2.634986746,108,19,6,0,33.98504507
Cuba,21083118.44,22007802.82,69954605015,62827666171,-924684.3785,7126938844,7127863528,-4.201620608,11.34363136,15.54525197,47,28,58,1,35.92131962
Cyprus,3774867.627,5741441.051,23356225780,25229779225,-1966573.424,-1873553445,-1871586872,-34.25226187,-7.425960522,26.82630135,17,1,4,0,28.62312657
Czech Republic,55794066.52,58308093.01,2.08E+11,2.02E+11,-2514026.498,6093000000,6095514026,-4.311625313,3.010806884,7.322432197,85,27,22,1,57.614527
Côte d'Ivoire,26335865.31,20642565.52,28681616270,24392355457,5693299.781,4289260813,4283567513,27.58038856,17.58444698,-9.995941579,143,146,85,0,29.45718407
Denmark,34355274.7,38060702.27,3.22E+11,3.15E+11,-3705427.573,7773000000,7776705428,-9.735573313,2.469994948,12.20556826,60,14,19,1,75.47003638
Djibouti,2408004.499,1562672.302,1297930970,1090583938,845332.1976,207347032,206501699.8,54.09529539,19.01247807,-35.08281733,154,155,96,0,25.16837778
Dominica,161736.0988,203575.8291,491169137.4,490525414.3,-41839.73028,643723.1,685562.8303,-20.55240569,0.131231345,20.68363703,30,4,12,1,25.04202352
Dominican Republic,15684077.95,14126200.68,59894034107,49811705704,1557877.27,10082328403,10080770526,11.02828216,20.24088166,9.212599495,74,92,99,0,34.34564274
Egypt,171292054.4,146321022.5,2.33E+11,2.08E+11,24971031.89,24363000000,24338028968,17.06592222,11.70234739,-5.363574836,134,117,59,0,61.38716625
El Salvador,11534909.12,11643748.51,22716943730,21129922272,-108839.3898,1587021458,1587130297,-0.934745282,7.510777548,8.44552283,78,42,40,1,28.52300283
Estonia,9253852.509,8893818.825,22185920530,19061483444,360033.6848,3124437086,3124077052,4.048133787,16.39136374,12.34322996,59,63,81,0,28.43983449
Ethiopia,95726695.65,85404642.62,39984181570,26595865977,10322053.03,13388315593,13377993540,12.08605612,50.33983704,38.25378093,2,99,151,0,31.22738091
Fiji,2927679.769,1964426.668,3486033014,3050380075,963253.1012,435652939,434689685.9,49.03482104,14.28192318,-34.75289786,153,154,73,0,25.51107621
Finland,36725584.29,35157018.24,2.49E+11,2.41E+11,1568566.046,8046000000,8044431434,4.46160148,3.343931176,-1.117670303,124,67,24,0,63.91014224
France,323422024.5,343227524.2,2.72E+12,2.60E+12,-19805499.71,1.27E+11,1.27E+11,-5.770370472,4.876789793,10.64716027,66,25,30,1,451.3713754
Gambia,1715254.385,1975427.522,1010735774,894092762.5,-260173.1364,116643011.5,116903184.6,-13.17047239,13.04596306,26.21643545,19,8,67,1,25.12339755
